ID;Plot_name;breeding;juvenile_2023;juvenile_2024;comment_bruterfolg;Lon;Lat;year_flight;mean_h_flight;sd_h_flight;max_h_flight;Anteil_Kraut_flight;Anteil_Strauch_flight;Anteil_Baum_flight;rumple_flight;sd_dgm_flight;viewshed_flight;ID_name;mean_h_drone;sd_h_drone;max_h_drone;Anteil_Kraut_drone;Anteil_Strauch_drone;Anteil_Baum_drone;rumple_drone;sd_dgm_drone;viewshed_drone;builddist;roaddist;farmdist;sitzwarten_25sqm;kraut_mean;kraut_sd;Gewicht.17.5;Gewicht.31.5;Gewicht.14.6;Gewicht.1.7;mean_biomass;mean_biomass_log
11;Niederasphe;ja;2;3;;477202,783274118;5644912,89878739;2018;0,197012072425898;1,02644361233549;10,7389831542969;0,96549564127995;0,0202014929268675;0,0143028657931826;1,00583990613115;2,41467710933078;0,487557784990656;11 Niederasphe;0,242956540264051;1,04878404368436;10,6393191070152;0,956998839634052;0,0285403736067714;0,0144607867591764;1,01063604897204;3,40288108387443;0,213645653199183;567,295633195525;51,742413040397;55,9293496425084;2;0,0794910898198537;0,1208679870355;45,504;37,7378;39,8126;NA;41,0181333333333;3,71401424535168
12;Niederasphe;nein;0;0;;477454,283852982;5644914,53680939;2018;0,235347064579061;1,02190004146058;9,1920166015625;0,955037242429185;0,0240308813135432;0,0209318762572718;1,01061364034086;4,57344915338858;0,274525238610646;12 Niederasphe;0,213377126747306;0,995877302308431;9,46201910701518;0,964903126155842;0,021012814924875;0,0140840589192829;1,01482872564628;5,12602651538808;0,231671277665996;816,369382658076;32,6860561783427;1,65397034887182;0;0,140759791829913;0,120159673059164;124,7351;92,0547;78,0174;71,7958;91,65075;4,51798515755829
13;Ober- und Niederhoerlen;ja;0;1;keine genaue Anzahl bekannt, aber Bruterfolg;460021,143195978;5632265,34944085;2018;0,313239307189256;1,52222480569223;14,2830200195312;0,955821445006903;0,012374086005011;0,0318044689880861;1,00239317744526;0,918278946617457;0,833103787506149;13 Ober- und Niederhoerlen;0,141420719003596;1,03963001227285;15,5210410504885;0,974922207742754;0,00670065601928929;0,0183771362379572;1,00383448638531;1,90181523979779;0,552697773864923;424,31264099914;69,4800952175151;183,644667487455;10;0,0848139528023977;0,107164985803646;109,492;48,1252;36,461;97,1992;72,81935;4,28798171658825
14;Ober- und Niederhoerlen;nein;0;0;;460004,209891111;5632447,79736793;2018;0,376945530279339;1,5932575157062;13,4939880371094;0,938496826158852;0,0247506267669494;0,0367525470741985;1,00758539273502;4,1138927936792;0,4695553806807;14 Ober- und Niederhoerlen;0,326833628980189;1,5636763481518;14,2909410504885;0,957852365880615;0,0133590398879026;0,0287885942314824;1,01088791358615;5,57411331218788;0,236777561159675;355,892838619702;28,5985326434036;355,689070752454;10;0,0851336358030594;0,104857686392681;118,533;48,9343;38,231;61,0292;66,681875;4,19993317686338
15;Oberdieten;ja;3;3;3 BP auf engstem Raum mit mind. 10 Juv., daher 3 BP pro 1 Brutpaar;457582,962295299;5633736,08332774;2018;0,0171412042365568;0,0196642720853684;0,655975341796875;1;0;0;1,00438665036112;2,23472231588966;0,830423449564747;15 Oberdieten;0,00409062057403854;0,0340689009024256;1,59918266972147;0,999473889560801;0,000525894081239529;2,16357959917524e-07;1,00679876353852;2,66253558301135;0,554825319958492;761,988016024483;7,46783658246685;859,796226013614;10;0,100515735112392;0,110627605612311;61,3493;NA;NA;157,3222;109,33575;4,69442342313029
16;Oberdieten;nein;0;0;;457777,755603394;5633718,22727449;2018;0,137481287023523;0,832620557869413;9,9010009765625;0,9759521218716;0,011044613710555;0,0130032644178455;1,00714877979298;3,99024640854807;0,470339399901623;16 Oberdieten;0,110450176966858;0,713458629604711;9,76088266972147;0,978562860839806;0,0148532612567594;0,00658387790343471;1,01087724877229;4,68909071498584;0,300248372999654;586,240874160272;11,0737484705909;695,651705032647;2;0,0952689935934745;0,174054038195369;113,5357;64,9819;46,0424;71,5194;74,01985;4,30433330047663
17;Driedorf: Münchhausen - Ost;ja;4;2;;443925,720872167;5607431,57307246;2018;0,0384160309401845;0,300246267180299;8,24700927734375;0,997055090124397;0,00121858339680122;0,00172632647880173;1,00284685160079;2,30646111338526;0,680999704811571;17 Driedorf: Münchhausen - Ost;0,0127000006255449;0,273222856620039;9,00716890021994;0,998853842161963;0,000373095187345698;0,000773062650691089;1,00542941867058;3,17423841823793;0,514475214534938;531,496030991529;144,521740807258;1025,04511150973;12;0,0401534779655667;0,0686435269060184;84,6934;33,0861;33,9265;86,8295;59,633875;4,08822378509206
18;Driedorf: Münchhausen - Ost;nein;0;0;;443892,847434855;5607585,24334688;2018;1,72278177159643;4,50428606989848;21,114990234375;0,840181023085528;0,032085833418082;0,12773314349639;1,00789081442709;1,60689829203653;0,562884265407506;18 Driedorf: Münchhausen - Ost;1,65447685388123;4,54255034301665;21,21736890022;0,848398441452824;0,0206234003028342;0,130978158244341;1,00833132371722;4,70266612180094;0,32802016168625;529,905742606073;11,8952952528884;918,654449090919;0;0,0745275436408518;0,131789146298803;69,808;93,0882;73,6476;133,4228;92,49165;4,5271183701735
19;Driedorf: Münchhausen - West;ja;2;1;;442233,523019141;5607655,45616005;2018;0,28639232778816;1,25143061925173;9,8489990234375;0,951920591428424;0,0183528925192576;0,0297265160523187;1,00479755572634;1,73036478502157;0,501795994685824;19 Driedorf: Münchhausen - West;0,329377484748449;1,31204012802704;10,382970800011;0,964482789017676;0,0184238077938951;0,0170934031884285;1,00906742948214;2,74803047234501;0,334821709326457;300,702563367693;138,061058856511;2046,24573260085;6;0,133874169343359;0,121991343396012;NA;31,4435;25,382;70,9488;42,5914333333333;3,75165313759126
20;Driedorf: Münchhausen - West;nein;0;0;;442112,939828268;5607763,56047104;2018;0,0127603154899547;0,0656627951874538;3,57000732421875;0,999376381881059;0,000623618118940983;0;1,00668246358745;3,92907359802797;0,7355168682994;20 Driedorf: Münchhausen - West;0,014209393168765;0,177600344299049;5,16347080001105;0,973052835667967;0,00957951479212679;0,0173676495399061;1,01000632005027;6,17046880842585;0,4088893082948;387,289676774514;2,47950307189824;1891,26819430799;3;0,0887687145992477;0,100176644336234;53,4272;32,103;23,6851;67,6486;44,215975;3,78908614912461
21;Driedorf: Mademühlen - Süd 1;ja;4;4;;441115,55510265;5606644,46625591;2018;0,481184142956631;2,03078929187012;14,3429870605469;0,943887876947986;0,0107265735681036;0,0453855494839101;1,00492374993959;2,09770613738562;0,663402391614586;21 Driedorf: Mademühlen - Süd 1;0,483475765800636;2,2158861289537;16,7752884197873;0,960161706251147;0,00586051190435587;0,0339777818444974;1,00914859271372;2,87420659803315;0,443846395971042;186,555219958799;35,0180203759939;2031,84304330729;10;0,0856340412419018;0,105092055757762;62,403;38,2818;28,8342;74,2906;50,9524;3,93089186356423
